chr	source	start	end	strand	enst	symbol	ensg
1	ensembl_havana	30732469	30757774	-	ENST00000294507	LAPTM5	ENSG00000162511
1	ensembl_havana	28236124	28238100	+	ENST00000335514	ATP5IF1	ENSG00000130770
1	ensembl_havana	30869466	30908758	-	ENST00000339394	SDC3	ENSG00000162512
1	ensembl_havana	28200278	28233029	-	ENST00000263697	DNAJC8	ENSG00000126698
1	ensembl_havana	31413213	31434678	+	ENST00000373709	SERINC2	ENSG00000168528
1	ensembl_havana	17406760	17439677	-	ENST00000375436	RCC2	ENSG00000179051
1	havana	35602634	35631537	-	ENST00000630477	PSMB2	ENSG00000126067
1	ensembl_havana	46303698	46316776	+	ENST00000311672	UQCRH	ENSG00000173660
1	ensembl_havana	36224443	36305357	+	ENST00000354618	THRAP3	ENSG00000054118
1	ensembl_havana	37566816	37595937	-	ENST00000373062	GNL2	ENSG00000134697
1	ensembl_havana	52020131	52055191	-	ENST00000371626	TXNDC12	ENSG00000117862
1	ensembl_havana	37956975	37990022	-	ENST00000373019	SF3A3	ENSG00000183431
1	ensembl_havana	53226900	53238518	-	ENST00000371470	MAGOH	ENSG00000162385
1	ensembl_havana	43530883	43623666	+	ENST00000359947	PTPRF	ENSG00000142949
1	ensembl_havana	43530890	43622357	+	ENST00000438120	PTPRF	ENSG00000142949
1	havana	43598074	43623666	+	ENST00000496447	PTPRF	ENSG00000142949
1	ensembl_havana	54849627	54887195	-	ENST00000371269	DHCR24	ENSG00000116133
1	havana	53014968	53051113	+	ENST00000435345	SCP2	ENSG00000116171
1	havana	109984765	110023742	+	ENST00000369799	AHCYL1	ENSG00000168710
1	ensembl_havana	94896957	94927110	-	ENST00000370206	CNN3	ENSG00000117519
1	ensembl_havana	116909916	116990353	+	ENST00000393203	PTGFRN	ENSG00000134247
1	ensembl_havana	110873148	110899922	+	ENST00000271324	CD53	ENSG00000143119
1	ensembl_havana	183023420	183145592	+	ENST00000258341	LAMC1	ENSG00000135862
1	havana	165631240	165655620	+	ENST00000367885	MGST3	ENSG00000143198
1	havana	153661788	153670993	-	ENST00000361891	ILF2	ENSG00000143621
1	ensembl_havana	186311652	186375253	-	ENST00000367478	TPR	ENSG00000047410
1	ensembl_havana	167721989	167790819	+	ENST00000392121	MPZL1	ENSG00000197965
1	ensembl_havana	173477335	173488815	+	ENST00000340385	PRDX6	ENSG00000117592
1	havana	173481199	173488015	+	ENST00000470017	PRDX6	ENSG00000117592
1	ensembl_havana	170663134	170736508	+	ENST00000367760	PRRX1	ENSG00000116132
1	ensembl_havana	170664131	170739421	+	ENST00000239461	PRRX1	ENSG00000116132
1	ensembl_havana	235975830	236065090	-	ENST00000264187	NID1	ENSG00000116962
1	havana	54036602	54053405	-	ENST00000452421	TMEM59	ENSG00000116209
1	havana	54045486	54053192	-	ENST00000371337	TMEM59	ENSG00000116209
1	ensembl_havana	235109341	235128837	-	ENST00000366607	TOMM20	ENSG00000173726
1	ensembl_havana	182839347	182887982	+	ENST00000367549	DHX9	ENSG00000135829
1	ensembl_havana	230067238	230282122	+	ENST00000366672	GALNT2	ENSG00000143641
1	ensembl_havana	212432920	212446379	+	ENST00000366988	NENF	ENSG00000117691
1	ensembl_havana	201982648	202006143	+	ENST00000295640	RNPEP	ENSG00000176393
1	ensembl_havana	244408494	244451909	-	ENST00000366535	ADSS2	ENSG00000035687
1	ensembl_havana	180288230	180502577	-	ENST00000367595	ACBD6	ENSG00000230124
1	ensembl_havana	205712822	205750182	-	ENST00000367142	NUCKS1	ENSG00000069275
1	havana	205718452	205719726	-	ENST00000464938	NUCKS1	ENSG00000069275
1	ensembl_havana	215567304	215621807	+	ENST00000259154	KCTD3	ENSG00000136636
1	ensembl_havana	23557926	23559501	-	ENST00000374561	ID3	ENSG00000117318
1	havana	23691742	23696417	+	ENST00000374550	RPL11	ENSG00000142676
1	ensembl_havana	23691806	23696835	+	ENST00000643754	RPL11	ENSG00000142676
1	havana	23691821	23696425	+	ENST00000467075	RPL11	ENSG00000142676
