junc.id	all_n40	max
chr10:+:100352496-100352621	0	0
chr10:+:100354632-100356618	0	0
chr10:+:100354632-100360733	0	0
chr10:+:100360784-100364497	0.025	0.025
chr10:+:100361988-100362102	0.025	0.025
chr10:+:100361988-100362105	0.025	0.025
chr10:+:100361988-100362391	0	0
chr10:+:100362178-100362206	0.025	0.025
chr10:+:100362560-100362608	0.025	0.025
chr10:+:100362639-100363039	0.025	0.025
chr10:+:104255271-104257365	0	0
chr10:+:104257483-104259575	0.05	0.05
chr10:+:110872018-110875974	0.025	0.025
chr10:+:110872143-110872192	0	0
chr10:+:110876753-110881274	0	0
chr10:+:110881535-110883011	0.025	0.025
chr10:+:110881649-110883002	0	0
chr10:+:110883020-110883043	0	0
chr10:+:110883097-110885255	0.025	0.025
chr10:+:110885073-110885252	0	0
chr10:+:110896348-110896389	0.025	0.025
chr10:+:122489626-122490563	0	0
chr10:+:12249718-12250313	0.05	0.05
chr10:+:122507385-122508748	0	0
chr10:+:122507407-122511982	0.025	0.025
chr10:+:122508770-122510101	0.025	0.025
chr10:+:123154485-123154950	0.025	0.025
chr10:+:123154485-123154980	0	0
chr10:+:123162298-123162611	0	0
chr10:+:123162298-123165046	0	0
chr10:+:17229424-17229460	0.025	0.025
chr10:+:17229433-17229881	0.025	0.025
chr10:+:17229671-17235264	0.025	0.025
chr10:+:17229782-17229833	0	0
chr10:+:17229782-17229911	0.025	0.025
chr10:+:17233682-17233778	0.1	0.1
chr10:+:17233682-17233805	0.05	0.05
chr10:+:17233881-17235279	0	0
chr10:+:17233883-17235279	0	0
chr10:+:17234776-17235168	0.025	0.025
chr10:+:17235389-17236339	0.025	0.025
chr10:+:17235889-17236339	0.025	0.025
chr10:+:17236379-17237250	0.025	0.025
chr10:+:19845631-19845769	0	0
chr10:+:19852316-19852355	0.025	0.025
chr10:+:19928965-19929170	0	0
chr10:+:19928989-19929141	0.025	0.025
chr10:+:20001986-20002850	0	0
chr10:+:20068239-20105246	0	0
chr10:+:20069576-20069752	0.025	0.025
chr10:+:20105370-20143294	0.025	0.025
chr10:+:20124805-20124856	0	0
chr10:+:20217539-20245377	0	0
chr10:+:22318306-22318657	0.025	0.025
chr10:+:45972730-45982522	0	0
chr10:+:45975512-45982534	0	0
chr10:+:45982925-45985382	0	0
chr10:+:45982930-45988736	0	0
chr10:+:45988847-46000061	0	0
chr10:+:46000181-46003202	0	0
chr10:+:5446858-5451832	0.025	0.025
chr10:+:5452525-5453249	0	0
chr10:+:5455118-5456064	0.025	0.025
chr10:+:5456722-5456893	0.025	0.025
chr10:+:6097188-6101272	0	0
chr10:+:68332197-68333016	0	0
chr10:+:68332197-68337198	0.025	0.025
chr10:+:68332235-68333016	0	0
chr10:+:68332284-68332663	0	0
chr10:+:68333102-68337198	0.025	0.025
chr10:+:68335754-68335824	0	0
chr10:+:69088236-69097188	0.025	0.025
chr10:+:69097105-69097188	0.025	0.025
chr10:+:69319010-69359896	0.025	0.025
chr10:+:69321773-69322368	0.025	0.025
chr10:+:69451618-69483690	0	0
chr10:+:69451690-69485140	0.025	0.025
